Country,Region,Population,GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,700,"36,0","3,2","46,6","20,34"
Albania ,EASTERN EUROPE                     ,3581655,4500,"86,5","71,2","15,11","5,22"
Algeria ,NORTHERN AFRICA                    ,32930091,6000,"70,0","78,1","17,14","4,61"
American Samoa ,OCEANIA                            ,57794,8000,"97,0","259,5","22,46","3,27"
Andorra ,WESTERN EUROPE                     ,71201,19000,"100,0","497,2","8,71","6,25"
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1900,"42,0","7,8","45,11","24,2"
Anguilla ,LATIN AMER. & CARIB    ,13477,8600,"95,0","460,0","14,17","5,34"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,11000,"89,0","549,9","16,93","5,37"
Argentina ,LATIN AMER. & CARIB    ,39921833,11200,"97,1","220,4","16,73","7,55"
Armenia ,C.W. OF IND. STATES ,2976372,3500,"98,6","195,7","12,07","8,23"
Aruba ,LATIN AMER. & CARIB    ,71891,28000,"97,0","516,1","11,03","6,68"
Australia ,OCEANIA                            ,20264082,29000,"100,0","565,5","12,14","7,51"
Austria ,WESTERN EUROPE                     ,8192880,30000,"98,0","452,2","8,74","9,76"
Azerbaijan ,C.W. OF IND. STATES ,7961619,3400,"97,0","137,1","20,74","9,75"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,16700,"95,6","460,6","17,57","9,05"
Bahrain ,NEAR EAST                          ,698585,16900,"89,1","281,3","17,8","4,14"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,1900,"43,1","7,3","29,8","8,27"
Barbados ,LATIN AMER. & CARIB    ,279912,15700,"97,4","481,9","12,71","8,67"
Belarus ,C.W. OF IND. STATES ,10293011,6100,"99,6","319,1","11,16","14,02"
Belgium ,WESTERN EUROPE                     ,10379067,29100,"98,0","462,6","10,38","10,27"
Belize ,LATIN AMER. & CARIB    ,287730,4900,"94,1","115,7","28,84","5,72"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,1100,"40,9","9,7","38,85","12,22"
Bermuda ,NORTHERN AMERICA                   ,65773,36000,"98,0","851,4","11,4","7,74"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,1300,"42,2","14,3","33,65","12,7"
Bolivia ,LATIN AMER. & CARIB    ,8989046,2400,"87,2","71,9","23,3","7,53"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,6100,,"215,4","8,77","8,27"
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,9000,"79,8","80,5","23,08","29,5"
Brazil ,LATIN AMER. & CARIB    ,188078227,7600,"86,4","225,3","16,56","6,17"
